hindi,hinglish
यह शानदार ससुर और वह शानदार घरवाले है।,Yeh shaandaar sasur aur woh shaandaar gharwale hai
मैं जाूँगी,main jaungi
मेरी दिए रही है,meri diye rahi hai
यह मज़बूत दादी है।,Yeh mazboot dadi hai
यह गर्म चाचा है।,Yeh garam chacha hai
वह उत्साहित घरवाले होगा।,Woh utsaahit gharwale hoga.
यह शर्मीला पापा है।,Yeh sharmila papa hai
यह सरल पति है।,Yeh saral pati hai
मेरे पास चार चाची है।,Mere paas chaar chachi hai.
वह ज़बरदस्त औरत होगा।,Woh zabardast aurat hoga.
यह कमाल का ससुर और वह कमाल का ताई है।,Yeh kamaal ka sasur aur woh kamaal ka tai hai
तेरा कमरा है,tera kamra hai
यह शेयर लंबा है।,Yeh share lamba hai
पुराना काम,purana kaam
मुझे एक बुरा ईमेल चाहिए।,mujhe ek bura email chahiye.
वह विंडो मिला,Woh window mila
कैसे जाओ,kaise jao
यह बोर दादी है।,Yeh bore dadi hai
वह नीचा नाना था।,Woh neecha nana tha.
मेरे पास दो बस स्टैंड है।,Mere paas do bus stand hai.
यह ठंडा बच्चा है।,Yeh thanda bachcha hai
यह मूर्ख भाई है।,Yeh murkh bhai hai
यह सस्ता लड़का है।,Yeh sasta ladka hai
मेरे पास एक हफ्ता है।,Mere paas ek hafta hai.
वह मज़ाकिया पत्नी था।,Woh mazakiya patni tha.
मुझे एक फालतू सिग्नल चाहिए।,mujhe ek faltu signal chahiye.
मेरे पास बहुत सारे ग्राहक है।,Mere paas bahut sare grahak hai.
मुझे एक खराब अकाउंट चाहिए।,mujhe ek kharab account chahiye.
वह पतला माँ होगा।,Woh patla maa hoga.
यह चेकआउट ज़बरदस्त है।,Yeh checkout zabardast hai
यह बेहतर दादी और वह बेहतर पत्नी है।,Yeh behtar dadi aur woh behtar patni hai
वह होशियार ताई था।,Woh hoshiyar tai tha.
तेरी जगह है,teri jagah hai
यह बहुत नया है,yah bahut naya hai
यह जटिल नाना है।,Yeh jatil nana hai
वह सुना,vah suna
वह चौड़ा बेटा था।,Woh chaura beta tha.
वह आसान परिवार होगा।,Woh aasan parivar hoga.
वह गरीब नाना होगा।,Woh garib nana hoga.
यह अलर्ट छोटा है।,Yeh alert chhota hai
यह बर्फ़ीला माँ है।,Yeh barfila maa hai
वह आसान दादी होगा।,Woh aasan dadi hoga.
यह बेईमान आदमी है।,Yeh beimana aadmi hai
मुझे एक बुरा लाइक चाहिए।,mujhe ek bura like chahiye.
यह पोछा जा रहा है।,Yeh pocha ja raha hai.
मेरे पास चार प्याज है।,Mere paas chaar pyaz hai.
वह चमकदार पापा था।,Woh chamakdar papa tha.
कहाँ आप करता है,kahaan aap karta hai
यह अच्छा ससुर और वह अच्छा चाचा है।,Yeh accha sasur aur woh accha chacha hai
वह सस्ता पत्नी था।,Woh sasta patni tha.
यह गरम परिवार है।,Yeh garam parivar hai
मुझे एक बड़ा चेकआउट चाहिए।,mujhe ek bada checkout chahiye.
उनका दोस्त पसंद है।,unka dost pasand hai.
यह ज़बरदस्त बेटी और वह ज़बरदस्त बहन है।,Yeh zabardast beti aur woh zabardast behen hai
वह मूर्ख माँ होगा।,Woh murkh maa hoga.
यह ट्रांजैक्शन धांसू है।,Yeh transaction dhansu hai
तेज़ दुनिया है,tez duniya hai
यह मटन खरीदा।,Yeh mutton kharida.
यह पिक्चर बढ़िया है।,Yeh picture badhiya hai
वह मुश्किल दादी होगा।,Woh mushkil dadi hoga.
यह कंप्यूटर सबसे अच्छा है।,Yeh computer sabse accha hai
वह सरल बच्चा होगा।,Woh saral bachcha hoga.
वे करेगा,ve karega
मुझे एक फालतू सॉफ्टवेयर चाहिए।,mujhe ek faltu software chahiye.
वह काला बेटी था।,Woh kala beti tha.
महंगा दिन है,mahanga din hai
यह सबसे अच्छा बेटी और वह सबसे अच्छा नानी है।,Yeh sabse accha beti aur woh sabse accha nani hai
मेरी ली रहा है,meri li raha hai
यह सबसे अच्छा पत्नी और वह सबसे अच्छा दादी है।,Yeh sabse accha patni aur woh sabse accha dadi hai
वह खुश यार था।,Woh khush yaar tha.
यह पोर्टल सबसे बुरा है।,Yeh portal sabse bura hai
यह सबसे अच्छा पापा और वह सबसे अच्छा दादा है।,Yeh sabse accha papa aur woh sabse accha dada hai
वह जवान बहन होगा।,Woh jawan behen hoga.
मुझे एक ख़ास डेस्कटॉप चाहिए।,mujhe ek khaas desktop chahiye.
यह गोल भाई है।,Yeh gol bhai hai
वह कमाल का पति था।,Woh kamaal ka pati tha.
यह जटिल भाई है।,Yeh jatil bhai hai
यह साफ दिन था।,Yeh saaf din tha.
यह बेहतर बेटी और वह बेहतर भाई है।,Yeh behtar beti aur woh behtar bhai hai
वह बेकार दादी था।,Woh bekar dadi tha.
मेरा लिया,mera liya
यह ब्राउज़र बड़ा है।,Yeh browser bada hai
यह बड़ा ससुर है।,Yeh bada sasur hai
मुझे एक सबसे अच्छा कनेक्शन चाहिए।,mujhe ek sabse accha connection chahiye.
वह उत्साहित पति था।,Woh utsaahit pati tha.
वह कीमती परिवार होगा।,Woh qimati parivar hoga.
वह अभी का बूढ़ा होगा।,Woh abhi ka budha hoga.
वह शांत भाई होगा।,Woh shant bhai hoga.
उसे कमरा चाहिए,use kamra chahiye
यह शेयर छोटा है।,Yeh share chhota hai
यह खराब घरवाले और वह खराब नाना है।,Yeh kharab gharwale aur woh kharab nana hai
सर्दी लग रही है।,Sardi lag rahi hai.
वह बड़ा माँ होगा।,Woh bada maa hoga.
वह नीला चाची था।,Woh neela chachi tha.
मुझे एक बढ़िया वीपीएन चाहिए।,mujhe ek badhiya VPN chahiye.
वह प्रसन्न चाचा था।,Woh prasanna chacha tha.
वह चपटा माँ होगा।,Woh chapta maa hoga.
मुझे एक साधारण साइन अप चाहिए।,mujhe ek sadharan sign up chahiye.
कैसे मैं है?,kaise main hai?
मुझे एक लंबा पावर बैंक चाहिए।,mujhe ek lamba power bank chahiye.
यह बढ़िया माँ और वह बढ़िया नाना है।,Yeh badhiya maa aur woh badhiya nana hai
यह कोमल पापा है।,Yeh komal papa hai
